sim/operation/quit                                 Quit X-Plane.
sim/ice/tail_boot_on                               Anti-ice: all tail, de-icing boots on schedule.
sim/ice/tail_boot0_on                              Anti-ice: left tail, de-icing boots on schedule.
sim/ice/tail_boot1_on                              Anti-ice: right tail, de-icing boots on schedule.
sim/ice/tail_boot_off                              Anti-ice: all tail, de-icing boots off.
sim/ice/tail_boot0_off                             Anti-ice: left tail, de-icing boots off.
sim/ice/tail_boot1_off                             Anti-ice: right tail, de-icing boots off.
sim/ice/tail_boot_tog                              Anti-ice: all tail, de-icing boots toggle.
sim/ice/tail_boot0_tog                             Anti-ice: left tail, de-icing boots toggle.
sim/ice/tail_boot1_tog                             Anti-ice: right tail, de-icing boots toggle.
sim/ice/tail_boot_single                           Anti-ice: all tail, de-icing boots single auto.
sim/ice/tail_boot0_single                          Anti-ice: left tail, de-icing boots single auto.
sim/ice/tail_boot1_single                          Anti-ice: right tail, de-icing boots single auto.
sim/ice/tail_boot_man                              Anti-ice: all tail, de-icing boots manual.
sim/ice/tail_boot0_man                             Anti-ice: left tail, de-icing boots manual.
sim/ice/tail_boot1_man                             Anti-ice: right tail, de-icing boots manual.
sim/ice/wing_tai_on                                Anti-ice: all wing, bleed anti-ice on.
sim/ice/wing_tai0_on                               Anti-ice: left wing, bleed anti-ice on.
sim/ice/wing_tai1_on                               Anti-ice: right wing, bleed anti-ice on.
sim/ice/wing_tai_off                               Anti-ice: all wing, bleed anti-ice off.
sim/ice/wing_tai0_off                              Anti-ice: left wing, bleed anti-ice off.
sim/ice/wing_tai1_off                              Anti-ice: right wing, bleed anti-ice off.
sim/ice/wing_tai_crossover_open                    Anti-ice: wing bleed air crossover valve open.
sim/ice/wing_tai_crossover_close                   Anti-ice: wing bleed air crossover valve close.
sim/ice/tail_tai_on                                Anti-ice: all tail, bleed anti-ice on.
sim/ice/tail_tai0_on                               Anti-ice: left tail, bleed anti-ice on.
sim/ice/tail_tai1_on                               Anti-ice: right tail, bleed anti-ice on.
sim/ice/tail_tai_off                               Anti-ice: all tail, bleed anti-ice off.
sim/ice/tail_tai0_off                              Anti-ice: left tail, bleed anti-ice off.
sim/ice/tail_tai1_off                              Anti-ice: right tail, bleed anti-ice off.
sim/ice/tks_off                                    Anti-ice: TKS all off.
sim/ice/tks_norm                                   Anti-ice: TKS all on, normal flow rate.
sim/ice/tks_high                                   Anti-ice: TKS all on, high flow rate.
sim/ice/tks_max                                    Anti-ice: TKS max flow rate for 2 minutes.
sim/ice/tks_bkup_on                                Anti-ice: TKS backup pump manual on.
sim/ice/tks_bkup_off                               Anti-ice: TKS backup pump off.
sim/ice/wing_tks_on                                Anti-ice: all wing, TKS de-ice normal.
sim/ice/wing_tks0_on                               Anti-ice: left wing, TKS de-ice normal.
sim/ice/wing_tks1_on                               Anti-ice: right wing, TKS de-ice normal.
sim/ice/wing_tks_high                              Anti-ice: all wing, TKS de-ice high.
sim/ice/wing_tks0_high                             Anti-ice: left wing, TKS de-ice high.
sim/ice/wing_tks1_high                             Anti-ice: right wing, TKS de-ice high.
sim/ice/wing_tks_off                               Anti-ice: all wing, TKS de-ice off.
sim/ice/wing_tks0_off                              Anti-ice: left wing, TKS de-ice off.
sim/ice/wing_tks1_off                              Anti-ice: right wing, TKS de-ice off.
sim/ice/tail_tks_on                                Anti-ice: all tail, TKS de-ice normal.
sim/ice/tail_tks0_on                               Anti-ice: left tail, TKS de-ice normal.
sim/ice/tail_tks1_on                               Anti-ice: right tail, TKS de-ice normal.
sim/ice/tail_tks_high                              Anti-ice: all tail, TKS de-ice high.
sim/ice/tail_tks0_high                             Anti-ice: left tail, TKS de-ice high.
sim/ice/tail_tks1_high                             Anti-ice: right tail, TKS de-ice high.
sim/ice/tail_tks_off                               Anti-ice: all tail, TKS de-ice off.
sim/ice/tail_tks0_off                              Anti-ice: left tail, TKS de-ice off.
sim/ice/tail_tks1_off                              Anti-ice: right tail, TKS de-ice off.
sim/ice/inlet_heat_on                              Anti-ice: all engines inlet heat on.
sim/ice/inlet_heat_off                             Anti-ice: all engines inlet heat off.
sim/ice/inlet_heat0_on                             Anti-ice: engine #1 inlet heat on.
sim/ice/inlet_heat0_off                            Anti-ice: engine #1 inlet heat off.
sim/ice/inlet_eai0_on                              Anti-ice: engine #1 anti-ice on.
sim/ice/inlet_eai0_off                             Anti-ice: engine #1 anti-ice off.
sim/ice/prop_heat_on                               Anti-ice: all prop heat on.
sim/ice/prop_heat_off                              Anti-ice: all prop heat off.
sim/ice/prop_heat0_on                              Anti-ice: engine #1 prop heat on.
sim/ice/prop_heat0_off                             Anti-ice: engine #1 prop heat off.
sim/ice/prop_tks_on                                Anti-ice: all prop TKS norm.
sim/ice/prop_tks_high                              Anti-ice: all prop TKS high.
sim/ice/prop_tks_off                               Anti-ice: all prop TKS off.
sim/ice/prop_tks0_on                               Anti-ice: engine #1 prop TKS norm.
sim/ice/prop_tks0_high                             Anti-ice: engine #1 prop TKS high.
sim/ice/prop_tks0_off                              Anti-ice: engine #1 prop TKS off.
sim/ice/prop_tks0_tog                              Anti-ice: engine #1 prop TKS toggle.
sim/ice/detect_on                                  Anti-ice: ice detection on.
sim/ice/detect_off                                 Anti-ice: ice detection off.
sim/oxy/crew_valve_on                              Crew oxygen: master valve open/on.
sim/oxy/crew_valve_off                             Crew oxygen: master valve closed/off.
sim/oxy/crew_regulator_up                          Crew oxygen: demand regulator up.
sim/oxy/crew_regulator_down                        Crew oxygen: demand regulator down.
sim/oxy/passenger_o2_on                            Passenger oxygen: drop masks.
sim/flight_controls/parachute_flares               Deploy parachute flares.
sim/flight_controls/smoke_toggle                   Toggle smoke puffing.
sim/flight_controls/water_scoop_toggle             Toggle water scoop.
sim/flight_controls/boost                          Water or Nitrous engine BOOST.
sim/flight_controls/ignite_jato                    Ignite JATO.
sim/flight_controls/jettison_payload               Jettison the payload.
sim/flight_controls/dump_fuel_on                   Dump fuel on.
sim/flight_controls/dump_fuel_off                  Dump fuel off.
sim/flight_controls/dump_fuel_toggle               Dump fuel toggle.
sim/flight_controls/deploy_parachute               Deploy/jettison chute.
sim/flight_controls/eject                          Eject.
sim/flight_controls/drop_tank                      Drop all drop tanks.
sim/weapons/re_arm_aircraft                        Re-arm aircraft to default specs.
sim/weapons/master_arm_on                          Master arm on.
sim/weapons/master_arm_off                         Master arm off.
sim/weapons/fire_mode_down                         Weapon single/pair/ripple/salvo down.
sim/weapons/fire_mode_up                           Weapon single/pair/ripple/salvo up.
sim/weapons/fire_rate_down                         Weapon fire rate down.
sim/weapons/fire_rate_up                           Weapon fire rate up.
sim/weapons/weapon_select_down                     Weapon select down.
sim/weapons/weapon_select_up                       Weapon select up.
sim/weapons/fire_air_to_air                        Fire air-to-air selection.
sim/weapons/fire_air_to_ground                     Fire air-to-ground selection.
sim/weapons/fire_any_armed                         Fire all armed weapons.
sim/weapons/fire_guns                              Fire armed guns.
sim/weapons/fire_any_shell                         Fire armed missiles or bombs.
sim/weapons/GPS_lock_here                          Target camera pointer in GPS.
sim/weapons/weapon_target_down                     Target select down.
sim/weapons/weapon_target_up                       Target select up.
sim/weapons/deploy_chaff                           Deploy chaff.
sim/weapons/deploy_flares                          Deploy flares.
sim/systems/seatbelt_sign_toggle                   Toggle seatbelt sign.
sim/systems/no_smoking_toggle                      Toggle smoking sign.
sim/systems/wipers_dn                              Windshield wipers down.
sim/systems/wipers_up                              Windshield wipers up.
sim/systems/rain_repellent_on                      Rain repellent on.
sim/systems/rain_repellent_off                     Rain repellent off.
sim/systems/rain_repellent2_on                     Rain repellent co-pilot on.
sim/systems/rain_repellent2_off                    Rain repellent co-pilot off.
sim/lights/spot_light_left                         Aim spotlight left.
sim/lights/spot_light_right                        Aim spotlight right.
sim/lights/spot_light_up                           Aim spotlight up.
sim/lights/spot_light_down                         Aim spotlight down.
sim/lights/spot_light_center                       Aim spotlight to center.
sim/flight_controls/door_open_1                    Door #1 open.
sim/flight_controls/door_close_1                   Door #1 close.
sim/flight_controls/glider_tow_release             Release tow-plane cable for gliders.
sim/flight_controls/winch_release                  Release winch for gliders.
sim/flight_controls/glider_all_release             Release tow-plane and winch for gliders.
sim/flight_controls/toggle_towline                 Toggle smart-towline deploy for towplanes.
sim/flight_controls/glider_tow_left                Tow-plane for gliders: Take me left.
sim/flight_controls/glider_tow_right               Tow-plane for gliders: Take me right.
sim/flight_controls/winch_faster                   Winch for gliders: Go faster.
sim/flight_controls/winch_slower                   Winch for gliders: Go slower.
sim/ground_ops/jetway                              Service the airplane with jetways.
sim/ground_ops/service_plane                       Service the airplane with ground trucks.
sim/ground_ops/pushback_left                       Push-back for airliners: Nose 90 left.
sim/ground_ops/pushback_straight                   Push-back for airliners: Straight back.
sim/ground_ops/pushback_right                      Push-back for airliners: Nose 90 right.
sim/ground_ops/pushback_stop                       Push-back for airliners: Stop and let go.
sim/ground_ops/toggle_window                       Toggle the ground handling window.
sim/radios/power_nav1_off                          Power NAV1 off.
sim/radios/power_nav1_on                           Power NAV1 on.
sim/radios/power_nav2_off                          Power NAV2 off.
sim/radios/power_nav2_on                           Power NAV2 on.
sim/radios/power_tac1_off                          Power TAC1 off.
sim/radios/power_tac1_rec                          Power TAC1 receive only.
sim/radios/power_tac1_tr                           Power TAC1 transmit/receive.
sim/radios/power_tac2_off                          Power TAC2 off.
sim/radios/power_tac2_rec                          Power TAC2 receive only.
sim/radios/power_tac2_tr                           Power TAC2 transmit/receive.
sim/radios/power_com1_off                          Power COM1 off.
sim/radios/power_com1_on                           Power COM1 on.
sim/radios/power_com2_off                          Power COM2 off.
sim/radios/power_com2_on                           Power COM2 on.
sim/radios/power_adf1_dn                           Power ADF1 dn.
sim/radios/power_adf1_up                           Power ADF1 up.
sim/radios/power_adf2_dn                           Power ADF2 dn.
sim/radios/power_adf2_up                           Power ADF2 up.
sim/radios/adf1_power_mode_0                       ADF 1 off.
sim/radios/adf1_power_mode_1                       ADF 1 antenna.
sim/radios/adf1_power_mode_2                       ADF 1 on.
sim/radios/adf1_power_mode_3                       ADF 1 tone.
sim/radios/adf1_power_mode_4                       ADF 1 test.
sim/radios/adf2_power_mode_0                       ADF 2 off.
sim/radios/adf2_power_mode_1                       ADF 2 antenna.
sim/radios/adf2_power_mode_2                       ADF 2 on.
sim/radios/adf2_power_mode_3                       ADF 2 tone.
sim/radios/adf2_power_mode_4                       ADF 2 test.
sim/radios/actv_com1_fine_down                     COM 1 fine down (25kHz).
sim/radios/actv_com1_fine_up                       COM 1 fine up (25kHz).
sim/radios/actv_com1_coarse_down_833               COM 1 coarse down (8.33 kHz).
sim/radios/actv_com1_coarse_up_833                 COM 1 coarse up (8.33 kHz).
sim/radios/actv_com1_fine_down_833                 COM 1 fine down (8.33 kHz).
sim/radios/actv_com1_fine_up_833                   COM 1 fine up (8.33 kHz).
sim/radios/stby_com1_fine_down                     COM 1 standby fine down (25kHz).
sim/radios/stby_com1_fine_up                       COM 1 standby fine up (25kHz).
sim/radios/stby_com1_coarse_down_833               COM 1 standby coarse down (8.33kHz).
sim/radios/stby_com1_coarse_up_833                 COM 1 standby coarse up (8.33kHz).
sim/radios/stby_com1_fine_down_833                 COM 1 standby fine down (8.33kHz).
sim/radios/stby_com1_fine_up_833                   COM 1 standby fine up (8.33kHz).
sim/radios/actv_com2_fine_down                     COM 2 fine down (25kHz).
sim/radios/actv_com2_fine_up                       COM 2 fine up (25kHz).
sim/radios/actv_com2_coarse_down_833               COM 2 coarse down (8.33kHz).
sim/radios/actv_com2_coarse_up_833                 COM 2 coarse up (8.33kHz).
sim/radios/actv_com2_fine_down_833                 COM 2 fine down (8.33kHz).
sim/radios/actv_com2_fine_up_833                   COM 2 fine up (8.33kHz).
sim/radios/stby_com2_fine_down                     COM 2 standby fine down (25kHz).
sim/radios/stby_com2_fine_up                       COM 2 standby fine up (25kHz).
sim/radios/stby_com2_coarse_down_833               COM 2 standby coarse down (8.33kHz).
sim/radios/stby_com2_coarse_up_833                 COM 2 standby coarse up (8.33kHz).
sim/radios/stby_com2_fine_down_833                 COM 2 standby fine down (8.33kHz).
sim/radios/stby_com2_fine_up_833                   COM 2 standby fine up (8.33kHz).
sim/radios/actv_nav1_coarse_down                   NAV 1 coarse down.
sim/radios/actv_nav1_coarse_up                     NAV 1 coarse up.
sim/radios/actv_nav1_fine_down                     NAV 1 fine down.
sim/radios/actv_nav1_fine_up                       NAV 1 fine up.
sim/radios/stby_nav1_coarse_down                   NAV 1 standby coarse down.
sim/radios/stby_nav1_coarse_up                     NAV 1 standby coarse up.
sim/radios/stby_nav1_fine_down                     NAV 1 standby fine down.
sim/radios/stby_nav1_fine_up                       NAV 1 standby fine up.
sim/radios/actv_nav2_coarse_down                   NAV 2 coarse down.
sim/radios/actv_nav2_coarse_up                     NAV 2 coarse up.
sim/radios/actv_nav2_fine_down                     NAV 2 fine down.
sim/radios/actv_nav2_fine_up                       NAV 2 fine up.
sim/radios/stby_nav2_coarse_down                   NAV 2 standby coarse down.
sim/radios/stby_nav2_coarse_up                     NAV 2 standby coarse up.
sim/radios/stby_nav2_fine_down                     NAV 2 standby fine down.
sim/radios/stby_nav2_fine_up                       NAV 2 standby fine up.
sim/radios/actv_tac1_channel_1down                 TACAN 1 channel 1s down.
sim/radios/actv_tac1_channel_1up                   TACAN 1 channel 1s up.
sim/radios/actv_tac1_channel_10down                TACAN 1 channel 10s down.
sim/radios/actv_tac1_channel_10up                  TACAN 1 channel 10s up.
sim/radios/actv_tac1_channel_down                  TACAN 1 channel down.
sim/radios/actv_tac1_channel_up                    TACAN 1 channel up.
sim/radios/actv_tac1_mode_x                        TACAN 1 mode X.
sim/radios/actv_tac1_mode_y                        TACAN 1 mode Y.
sim/radios/stby_tac1_channel_1down                 TACAN 1 standby channel 1s down.
sim/radios/stby_tac1_channel_1up                   TACAN 1 standby channel 1s up.
sim/radios/stby_tac1_channel_10down                TACAN 1 standby channel 10s down.
sim/radios/stby_tac1_channel_10up                  TACAN 1 standby channel 10s up.
sim/radios/stby_tac1_channel_down                  TACAN 1 standby channel down.
sim/radios/stby_tac1_channel_up                    TACAN 1 standby channel up.
sim/radios/stby_tac1_mode_x                        TACAN 1 standby mode X.
sim/radios/stby_tac1_mode_y                        TACAN 1 standby mode Y.
sim/radios/actv_tac2_channel_1down                 TACAN 2 channel 1s down.
sim/radios/actv_tac2_channel_1up                   TACAN 2 channel 1s up.
sim/radios/actv_tac2_channel_10down                TACAN 2 channel 10s down.
sim/radios/actv_tac2_channel_10up                  TACAN 2 channel 10s up.
sim/radios/actv_tac2_channel_down                  TACAN 2 channel down.
sim/radios/actv_tac2_channel_up                    TACAN 2 channel up.
sim/radios/actv_tac2_mode_x                        TACAN 2 mode X.
sim/radios/actv_tac2_mode_y                        TACAN 2 mode Y.
sim/radios/stby_tac2_channel_1down                 TACAN 2 standby channel 1s down.
sim/radios/stby_tac2_channel_1up                   TACAN 2 standby channel 1s up.
sim/radios/stby_tac2_channel_10down                TACAN 2 standby channel 10s down.
sim/radios/stby_tac2_channel_10up                  TACAN 2 standby channel 10s up.
sim/radios/stby_tac2_channel_down                  TACAN 2 standby channel down.
sim/radios/stby_tac2_channel_up                    TACAN 2 standby channel up.
sim/radios/stby_tac2_mode_x                        TACAN 2 standby mode X.
sim/radios/stby_tac2_mode_y                        TACAN 2 standby mode Y.
sim/radios/actv_dme_coarse_down                    DME coarse down.
sim/radios/actv_dme_coarse_up                      DME coarse up.
sim/radios/actv_dme_fine_down                      DME fine down.
sim/radios/actv_dme_fine_up                        DME fine up.
sim/radios/stby_dme_coarse_down                    DME standby coarse down.
sim/radios/stby_dme_coarse_up                      DME standby coarse up.
sim/radios/stby_dme_fine_down                      DME standby fine down.
sim/radios/stby_dme_fine_up                        DME standby fine up.
sim/radios/actv_adf1_hundreds_down                 ADF active 1 hundreds down.
sim/radios/actv_adf1_hundreds_up                   ADF active 1 hundreds up.
sim/radios/actv_adf1_tens_down                     ADF active 1 tens down.
sim/radios/actv_adf1_tens_up                       ADF active 1 tens up.
sim/radios/actv_adf1_ones_down                     ADF active 1 ones down.
sim/radios/actv_adf1_ones_up                       ADF active 1 ones up.
sim/radios/actv_adf1_ones_tens_down                ADF active 1 ones and tens down.
sim/radios/actv_adf1_ones_tens_up                  ADF active 1 ones and tens up.
sim/radios/actv_adf1_hundreds_thous_down           ADF active 1 hundreds and thousands down.
sim/radios/actv_adf1_hundreds_thous_up             ADF active 1 hundreds and thousands up.
sim/radios/actv_adf1_4dig_hundreds_down            4-digit ADF active 1 hundreds down.
sim/radios/actv_adf1_4dig_hundreds_up              4-digit ADF active 1 hundreds up.
sim/radios/actv_adf1_4dig_tens_down                4-digit ADF active 1 tens down.
sim/radios/actv_adf1_4dig_tens_up                  4-digit ADF active 1 tens up.
sim/radios/actv_adf1_4dig_ones_down                4-digit ADF active 1 ones down.
sim/radios/actv_adf1_4dig_ones_up                  4-digit ADF active 1 ones up.
sim/radios/stby_adf1_hundreds_down                 ADF standby 1 hundreds down.
sim/radios/stby_adf1_hundreds_up                   ADF standby 1 hundreds up.
sim/radios/stby_adf1_tens_down                     ADF standby 1 tens down.
sim/radios/stby_adf1_tens_up                       ADF standby 1 tens up.
sim/radios/stby_adf1_ones_down                     ADF standby 1 ones down.
sim/radios/stby_adf1_ones_up                       ADF standby 1 ones up.
sim/radios/stby_adf1_ones_tens_down                ADF standby 1 ones and tens down.
sim/radios/stby_adf1_ones_tens_up                  ADF standby 1 ones and tens up.
sim/radios/stby_adf1_hundreds_thous_down           ADF standby 1 hundreds and thousands down.
sim/radios/stby_adf1_hundreds_thous_up             ADF standby 1 hundreds and thousands up.
sim/radios/stby_adf1_4dig_hundreds_down            4-digit ADF standby 1 hundreds down.
sim/radios/stby_adf1_4dig_hundreds_up              4-digit ADF standby 1 hundreds up.
sim/radios/stby_adf1_4dig_tens_down                4-digit ADF standby 1 tens down.
sim/radios/stby_adf1_4dig_tens_up                  4-digit ADF standby 1 tens up.
sim/radios/stby_adf1_4dig_ones_down                4-digit ADF standby 1 ones down.
sim/radios/stby_adf1_4dig_ones_up                  4-digit ADF standby 1 ones up.
sim/radios/actv_adf2_hundreds_down                 ADF active 2 hundreds down.
sim/radios/actv_adf2_hundreds_up                   ADF active 2 hundreds up.
sim/radios/actv_adf2_tens_down                     ADF active 2 tens down.
sim/radios/actv_adf2_tens_up                       ADF active 2 tens up.
sim/radios/actv_adf2_ones_down                     ADF active 2 ones down.
sim/radios/actv_adf2_ones_up                       ADF active 2 ones up.
sim/radios/actv_adf2_ones_tens_down                ADF active 2 ones and tens down.
sim/radios/actv_adf2_ones_tens_up                  ADF active 2 ones and tens up.
sim/radios/actv_adf2_hundreds_thous_down           ADF active 2 hundreds and thousands down.
sim/radios/actv_adf2_hundreds_thous_up             ADF active 2 hundreds and thousands up.
sim/radios/actv_adf2_4dig_hundreds_down            4-digit ADF active 2 hundreds down.
sim/radios/actv_adf2_4dig_hundreds_up              4-digit ADF active 2 hundreds up.
sim/radios/actv_adf2_4dig_tens_down                4-digit ADF active 2 tens down.
sim/radios/actv_adf2_4dig_tens_up                  4-digit ADF active 2 tens up.
sim/radios/actv_adf2_4dig_ones_down                4-digit ADF active 2 ones down.
sim/radios/actv_adf2_4dig_ones_up                  4-digit ADF active 2 ones up.
sim/radios/stby_adf2_hundreds_down                 ADF standby 2 hundreds down.
sim/radios/stby_adf2_hundreds_up                   ADF standby 2 hundreds up.
sim/radios/stby_adf2_tens_down                     ADF standby 2 tens down.
sim/radios/stby_adf2_tens_up                       ADF standby 2 tens up.
sim/radios/stby_adf2_ones_down                     ADF standby 2 ones down.
sim/radios/stby_adf2_ones_up                       ADF standby 2 ones up.
sim/radios/stby_adf2_ones_tens_down                ADF standby 2 ones and tens down.
sim/radios/stby_adf2_ones_tens_up                  ADF standby 2 ones and tens up.
sim/radios/stby_adf2_hundreds_thous_down           ADF standby 2 hundreds and thousands down.
sim/radios/stby_adf2_hundreds_thous_up             ADF standby 2 hundreds and thousands up.
sim/radios/stby_adf2_4dig_hundreds_down            4-digit ADF standby 2 hundreds down.
sim/radios/stby_adf2_4dig_hundreds_up              4-digit ADF standby 2 hundreds up.
sim/radios/stby_adf2_4dig_tens_down                4-digit ADF standby 2 tens down.
sim/radios/stby_adf2_4dig_tens_up                  4-digit ADF standby 2 tens up.
sim/radios/stby_adf2_4dig_ones_down                4-digit ADF standby 2 ones down.
sim/radios/stby_adf2_4dig_ones_up                  4-digit ADF standby 2 ones up.
sim/transponder/transponder_digit_0                Transponder digit to 0.
sim/transponder/transponder_digit_1                Transponder digit to 1.
sim/transponder/transponder_digit_2                Transponder digit to 2.
sim/transponder/transponder_digit_3                Transponder digit to 3.
sim/transponder/transponder_digit_4                Transponder digit to 4.
sim/transponder/transponder_digit_5                Transponder digit to 5.
sim/transponder/transponder_digit_6                Transponder digit to 6.
sim/transponder/transponder_digit_7                Transponder digit to 7.
sim/transponder/transponder_CLR                    Transponder reset to first digit.
sim/transponder/transponder_thousands_down         Transponder thousands down.
sim/transponder/transponder_thousands_up           Transponder thousands up.
sim/transponder/transponder_hundreds_down          Transponder hundreds down.
sim/transponder/transponder_hundreds_up            Transponder hundreds up.
sim/transponder/transponder_tens_down              Transponder tens down.
sim/transponder/transponder_tens_up                Transponder tens up.
sim/transponder/transponder_ones_down              Transponder ones down.
sim/transponder/transponder_ones_up                Transponder ones up.
sim/transponder/transponder_12_down                Transponder digits 1 and 2 down.
sim/transponder/transponder_12_up                  Transponder digits 1 and 2 up.
sim/transponder/transponder_34_down                Transponder digits 3 and 4 down.
sim/transponder/transponder_34_up                  Transponder digits 3 and 4 up.
sim/audio_panel/transmit_audio_com1                Transmit audio: COM1.
sim/audio_panel/transmit_audio_com2                Transmit audio: COM2.
sim/audio_panel/monitor_audio_com_auto             Monitor audio: COM auto (same as transmit) toggle.
sim/audio_panel/monitor_audio_com1                 Monitor audio: COM1 toggle.
sim/audio_panel/monitor_audio_com2                 Monitor audio: COM2 toggle.
sim/audio_panel/monitor_audio_nav1                 Monitor audio: NAV1 toggle.
sim/audio_panel/monitor_audio_nav2                 Monitor audio: NAV2 toggle.
sim/audio_panel/monitor_audio_adf1                 Monitor audio: ADF1 toggle.
sim/audio_panel/monitor_audio_adf2                 Monitor audio: ADF2 toggle.
sim/audio_panel/monitor_audio_dme                  Monitor audio: DME toggle.
sim/audio_panel/monitor_audio_mkr                  Monitor audio: MKR toggle.
sim/audio_panel/transmit_audio_com1_man            Transmit audio: COM1 - old panel, doesn't change listener.
sim/audio_panel/transmit_audio_com2_man            Transmit audio: COM2 - old panel, doesn't change listener.
sim/audio_panel/monitor_audio_com_auto_off         Monitor audio: COM auto (same as transmit) off.
sim/audio_panel/monitor_audio_com1_off             Monitor audio: COM1 off.
sim/audio_panel/monitor_audio_com2_off             Monitor audio: COM2 off.
sim/audio_panel/monitor_audio_nav1_off             Monitor audio: NAV1 off.
sim/audio_panel/monitor_audio_nav2_off             Monitor audio: NAV2 off.
sim/audio_panel/monitor_audio_adf1_off             Monitor audio: ADF1 off.
sim/audio_panel/monitor_audio_adf2_off             Monitor audio: ADF2 off.
sim/audio_panel/monitor_audio_dme_off              Monitor audio: DME off.
sim/audio_panel/monitor_audio_mkr_off              Monitor audio: MKR off.
sim/audio_panel/monitor_audio_com_auto_on          Monitor audio: COM auto (same as transmit) on.
sim/audio_panel/monitor_audio_com1_on              Monitor audio: COM1 on.
sim/audio_panel/monitor_audio_com2_on              Monitor audio: COM2 on.
sim/audio_panel/monitor_audio_nav1_on              Monitor audio: NAV1 on.
sim/audio_panel/monitor_audio_nav2_on              Monitor audio: NAV2 on.
sim/audio_panel/monitor_audio_adf1_on              Monitor audio: ADF1 on.
sim/audio_panel/monitor_audio_adf2_on              Monitor audio: ADF2 on.
sim/audio_panel/monitor_audio_dme_on               Monitor audio: DME on.
sim/audio_panel/monitor_audio_mkr_on               Monitor audio: MKR on.
sim/audio_panel/use_pilot_audio                    Audio: Listen to pilot's audio panel.
sim/audio_panel/use_copilot_audio                  Audio: Listen to copilot's audio panel.
sim/audio_panel_copilot/transmit_audio_com1        Copilot: Transmit audio: COM1.
sim/audio_panel_copilot/transmit_audio_com2        Copilot: Transmit audio: COM2.
sim/audio_panel_copilot/monitor_audio_com_auto     Copilot: Monitor audio: COM auto (same as transmit) toggle.
sim/audio_panel_copilot/monitor_audio_com1         Copilot: Monitor audio: COM1 toggle.
sim/audio_panel_copilot/monitor_audio_com2         Copilot: Monitor audio: COM2 toggle.
sim/audio_panel_copilot/monitor_audio_nav1         Copilot: Monitor audio: NAV1 toggle.
sim/audio_panel_copilot/monitor_audio_nav2         Copilot: Monitor audio: NAV2 toggle.
sim/audio_panel_copilot/monitor_audio_adf1         Copilot: Monitor audio: ADF1 toggle.
sim/audio_panel_copilot/monitor_audio_adf2         Copilot: Monitor audio: ADF2 toggle.
sim/audio_panel_copilot/monitor_audio_dme          Copilot: Monitor audio: DME toggle.
sim/audio_panel_copilot/monitor_audio_mkr          Copilot: Monitor audio: MKR toggle.
sim/audio_panel_copilot/transmit_audio_com1_man    Copilot: Transmit audio: COM1 - old panel, doesn't change listener.
sim/audio_panel_copilot/transmit_audio_com2_man    Copilot: Transmit audio: COM2 - old panel, doesn't change listener.
sim/audio_panel_copilot/monitor_audio_com_auto_off Copilot: Monitor audio: COM auto (same as transmit) off.
sim/audio_panel_copilot/monitor_audio_com1_off     Copilot: Monitor audio: COM1 off.
sim/audio_panel_copilot/monitor_audio_com2_off     Copilot: Monitor audio: COM2 off.
sim/audio_panel_copilot/monitor_audio_nav1_off     Copilot: Monitor audio: NAV1 off.
sim/audio_panel_copilot/monitor_audio_nav2_off     Copilot: Monitor audio: NAV2 off.
sim/audio_panel_copilot/monitor_audio_adf1_off     Copilot: Monitor audio: ADF1 off.
sim/audio_panel_copilot/monitor_audio_adf2_off     Copilot: Monitor audio: ADF2 off.
sim/audio_panel_copilot/monitor_audio_dme_off      Copilot: Monitor audio: DME off.
sim/audio_panel_copilot/monitor_audio_mkr_off      Copilot: Monitor audio: MKR off.
sim/audio_panel_copilot/monitor_audio_com_auto_on  Copilot: Monitor audio: COM auto (same as transmit) on.
sim/audio_panel_copilot/monitor_audio_com1_on      Copilot: Monitor audio: COM1 on.
sim/audio_panel_copilot/monitor_audio_com2_on      Copilot: Monitor audio: COM2 on.
sim/audio_panel_copilot/monitor_audio_nav1_on      Copilot: Monitor audio: NAV1 on.
sim/audio_panel_copilot/monitor_audio_nav2_on      Copilot: Monitor audio: NAV2 on.
sim/audio_panel_copilot/monitor_audio_adf1_on      Copilot: Monitor audio: ADF1 on.
sim/audio_panel_copilot/monitor_audio_adf2_on      Copilot: Monitor audio: ADF2 on.
sim/audio_panel_copilot/monitor_audio_dme_on       Copilot: Monitor audio: DME on.
sim/audio_panel_copilot/monitor_audio_mkr_on       Copilot: Monitor audio: MKR on.
sim/transponder/transponder_ident                  Transponder ID.
sim/transponder/transponder_off                    Transponder off.
sim/transponder/transponder_standby                Transponder standby.
sim/transponder/transponder_on                     Transponder on.
sim/transponder/transponder_alt                    Transponder alt.
sim/transponder/transponder_test                   Transponder test.
sim/transponder/transponder_ground                 Transponder ground.
sim/transponder/transponder_dn                     Transponder mode down.
sim/transponder/transponder_up                     Transponder mode up.
sim/transponder/transponder_ta_only                Transponder TA only.
sim/transponder/transponder_ta_ra                  Transponder TA/RA.
sim/radios/nav1_standy_flip                        NAV 1 flip standby.
sim/radios/nav2_standy_flip                        NAV 2 flip standby.
sim/radios/com1_standy_flip                        COM 1 flip standby.
sim/radios/com2_standy_flip                        COM 2 flip standby.
sim/radios/adf1_standy_flip                        ADF 1 flip standby.
sim/radios/adf2_standy_flip                        ADF 2 flip standby.
sim/radios/dme_standby_flip                        DME flip standby.
